year,age,sex,enrolment_secondary
2012,13 YRS,F,21106
2012,14 YRS,MF,48216
2012,14 YRS,F,23321
2012,15 YRS,MF,50407
2012,15 YRS,F,24461
2012,16 YRS,MF,14726
2012,16 YRS,F,6900
2012,17 YRS,MF,3211
2012,17 YRS,F,1519
2012,18 YRS,MF,694
2012,18 YRS,F,288
2012,19 YRS,MF,137
2012,19 YRS,F,58
2012,20 YRS & OVER,MF,24
2012,20 YRS & OVER,F,10
2012,UNDER 13 YRS,MF,41639
2012,UNDER 13 YRS,F,20060
2013,13 YRS,MF,43450
2013,13 YRS,F,20880
2013,14 YRS,MF,44159
2013,14 YRS,F,21427
2013,15 YRS,MF,48530
2013,15 YRS,F,23491
2013,16 YRS,MF,12469
2013,16 YRS,F,6036
2013,17 YRS,MF,2636
2013,17 YRS,F,1232
2013,18 YRS,MF,635
2013,18 YRS,F,313
2013,19 YRS,MF,101
2013,19 YRS,F,37
2013,20 YRS & OVER,MF,13
2013,20 YRS & OVER,F,5
2013,UNDER 13 YRS,MF,45172
2013,UNDER 13 YRS,F,21796
2014,13 YRS,MF,47056
2014,13 YRS,F,22652
2014,14 YRS,MF,44160
2014,14 YRS,F,21211
2014,15 YRS,MF,44426
2014,15 YRS,F,21565
2014,16 YRS,MF,11610
2014,16 YRS,F,5491
2014,17 YRS,MF,2288
2014,17 YRS,F,1039
2014,18 YRS,MF,544
2014,18 YRS,F,249
2014,19 YRS,MF,109
2014,19 YRS,F,44
2014,20 YRS & OVER,MF,4
2014,20 YRS & OVER,F,2
2014,UNDER 13 YRS,MF,39910
2014,UNDER 13 YRS,F,19411
2015,13 YRS,MF,41587
2015,13 YRS,F,20169
2015,14 YRS,MF,47723
2015,14 YRS,F,22967
2015,15 YRS,MF,44339
2015,15 YRS,F,21317
2015,16 YRS,MF,10335
2015,16 YRS,F,4854
2015,17 YRS,MF,2085
2015,17 YRS,F,933
2015,18 YRS,MF,411
2015,18 YRS,F,184
2015,19 YRS,MF,66
2015,19 YRS,F,35
2015,20 YRS & OVER,MF,7
2015,20 YRS & OVER,F,3
2015,UNDER 13 YRS,MF,39483
2015,UNDER 13 YRS,F,19326
2016,13 YRS,MF,41011
2016,13 YRS,F,20022
2016,14 YRS,MF,42044
2016,14 YRS,F,20387
2016,15 YRS,MF,47901
2016,15 YRS,F,23070
2016,16 YRS,MF,9778
2016,16 YRS,F,4673
2016,17 YRS,MF,1741
2016,17 YRS,F,767
2016,18 YRS,MF,329
2016,18 YRS,F,138
2016,19 YRS,MF,52
2016,19 YRS,F,17
2016,20 YRS & OVER,MF,5
2016,20 YRS & OVER,F,5
2016,UNDER 13 YRS,MF,37139
2016,UNDER 13 YRS,F,18171
2017,13 YRS,MF,38203
2017,13 YRS,F,18642
2017,14 YRS,MF,41381
2017,14 YRS,F,20185
2017,15 YRS,MF,42214
2017,15 YRS,F,20452
2017,16 YRS,MF,10465
2017,16 YRS,F,4851
2017,17 YRS,MF,1686
2017,17 YRS,F,734
2017,18 YRS,MF,265
2017,18 YRS,F,95
2017,19 YRS,MF,47
2017,19 YRS,F,20
