year,level_1,level_2,level_3,level_4,value
2015,Chinese,Total,Newton- Total,Monk's Hill,710
2015,Chinese,Total,Newton- Total,Newton Circus,130
2015,Chinese,Total,Newton- Total,Orange Grove,950
2015,Chinese,Total,Novena- Total,Balestier,25930
2015,Chinese,Total,Novena- Total,Dunearn,3250
2015,Chinese,Total,Novena- Total,Malcolm,2130
2015,Chinese,Total,Novena- Total,Moulmein,7040
2015,Chinese,Total,Novena- Total,Mount Pleasant,500
2015,Chinese,Total,Orchard- Total,Boulevard,290
2015,Chinese,Total,Orchard- Total,Somerset,90
2015,Chinese,Total,Orchard- Total,Tanglin,240
2015,Chinese,Total,Outram- Total,China Square,1540
2015,Chinese,Total,Outram- Total,Chinatown,10060
2015,Chinese,Total,Outram- Total,Pearl's Hill,6060
2015,Chinese,Total,Outram- Total,People's Park,360
2015,Chinese,Total,Pasir Ris- Total,Flora Drive,10160
2015,Chinese,Total,Pasir Ris- Total,Loyang East,1640
2015,Chinese,Total,Pasir Ris- Total,Loyang West,150
2015,Chinese,Total,Pasir Ris- Total,Pasir Ris Central,18900
2015,Chinese,Total,Pasir Ris- Total,Pasir Ris Drive,36120
2015,Chinese,Total,Pasir Ris- Total,Pasir Ris Park,2240
2015,Chinese,Total,Pasir Ris- Total,Pasir Ris West,24690
2015,Chinese,Total,Punggol- Total,Matilda,23290
2015,Chinese,Total,Punggol- Total,Northshore,240
2015,Chinese,Total,Punggol- Total,Punggol Field,33980
2015,Chinese,Total,Punggol- Total,Punggol Town Centre,6030
2015,Chinese,Total,Punggol- Total,Waterway East,21360
2015,Chinese,Total,Queenstown- Total,Commonwealth,6030
2015,Chinese,Total,Queenstown- Total,Dover,10460
2015,Chinese,Total,Queenstown- Total,Ghim Moh,9240
2015,Chinese,Total,Queenstown- Total,Holland Drive,11790
2015,Chinese,Total,Queenstown- Total,Kent Ridge,670
2015,Chinese,Total,Queenstown- Total,Margaret Drive,9010
2015,Chinese,Total,Queenstown- Total,Mei Chin,13050
2015,Chinese,Total,Queenstown- Total,National University of S'pore,320
2015,Chinese,Total,Queenstown- Total,One North,410
2015,Chinese,Total,Queenstown- Total,Pasir Panjang 1,3410
2015,Chinese,Total,Queenstown- Total,Pasir Panjang 2,2820
2015,Chinese,Total,Queenstown- Total,Port,120
2015,Chinese,Total,Queenstown- Total,Queensway,200
2015,Chinese,Total,Queenstown- Total,Singapore Polytechnic,120
2015,Chinese,Total,Queenstown- Total,Tanglin Halt,9750
2015,Chinese,Total,River Valley- Total,Institution Hill,2440
2015,Chinese,Total,River Valley- Total,Leonie Hill,1510
2015,Chinese,Total,River Valley- Total,One Tree Hill,1280
2015,Chinese,Total,River Valley- Total,Oxley,1100
2015,Chinese,Total,River Valley- Total,Paterson,120
2015,Chinese,Total,Rochor- Total,Bencoolen,1040
2015,Chinese,Total,Rochor- Total,Farrer Park,2090
2015,Chinese,Total,Rochor- Total,Kampong Glam,60
2015,Chinese,Total,Rochor- Total,Little India,2810
2015,Chinese,Total,Rochor- Total,Mackenzie,80
2015,Chinese,Total,Rochor- Total,Mount Emily,830
2015,Chinese,Total,Rochor- Total,Selegie,180
2015,Chinese,Total,Rochor- Total,Sungei Road,1610
2015,Chinese,Total,Rochor- Total,Victoria,1780
2015,Chinese,Total,Seletar- Total,Seletar,160
2015,Chinese,Total,Sembawang- Total,Admiralty,10240
2015,Chinese,Total,Sembawang- Total,Sembawang Central,21390
2015,Chinese,Total,Sembawang- Total,Sembawang North,19130
2015,Chinese,Total,Sembawang- Total,Sembawang Springs,3550
2015,Chinese,Total,Sembawang- Total,Sembawang Straits,1270
2015,Chinese,Total,Sengkang- Total,Anchorvale,29590
2015,Chinese,Total,Sengkang- Total,Compassvale,15750
2015,Chinese,Total,Sengkang- Total,Fernvale,27000
2015,Chinese,Total,Sengkang- Total,Rivervale,45460
2015,Chinese,Total,Sengkang- Total,Sengkang Town Centre,42780
2015,Chinese,Total,Serangoon- Total,Lorong Chuan,7570
2015,Chinese,Total,Serangoon- Total,Seletar Hills,12040
2015,Chinese,Total,Serangoon- Total,Serangoon Central,22110
2015,Chinese,Total,Serangoon- Total,Serangoon Garden,32530
2015,Chinese,Total,Serangoon- Total,Serangoon North,13810
2015,Chinese,Total,Serangoon- Total,Upper Paya Lebar,13380
2015,Chinese,Total,Singapore River- Total,Boat Quay,110
2015,Chinese,Total,Singapore River- Total,Clarke Quay,70
2015,Chinese,Total,Singapore River- Total,Robertson Quay,1690
2015,Chinese,Total,Southern Islands- Total,Sentosa,810
2015,Chinese,Total,Sungei Kadut- Total,Gali Batu,110
2015,Chinese,Total,Sungei Kadut- Total,Turf Club,550
2015,Chinese,Total,Tampines- Total,Simei,30950
2015,Chinese,Total,Tampines- Total,Tampines East,89310
2015,Chinese,Total,Tampines- Total,Tampines West,53600
2015,Chinese,Total,Tampines- Total,Xilin,1610
2015,Chinese,Total,Tanglin- Total,Chatsworth,3960
2015,Chinese,Total,Tanglin- Total,Nassim,6530
2015,Chinese,Total,Tanglin- Total,Ridout,1040
2015,Chinese,Total,Tanglin- Total,Tyersall,2630
2015,Chinese,Total,Toa Payoh- Total,Boon Teck,11350
2015,Chinese,Total,Toa Payoh- Total,Braddell,8360
2015,Chinese,Total,Toa Payoh- Total,Joo Seng,5780
2015,Chinese,Total,Toa Payoh- Total,Kim Keat,7050
2015,Chinese,Total,Toa Payoh- Total,Lorong 8 Toa Payoh,6730
2015,Chinese,Total,Toa Payoh- Total,Pei Chun,9700
2015,Chinese,Total,Toa Payoh- Total,Potong Pasir,10330
2015,Chinese,Total,Toa Payoh- Total,Sennett,4100
2015,Chinese,Total,Toa Payoh- Total,Toa Payoh Central,25390
2015,Chinese,Total,Toa Payoh- Total,Toa Payoh West,11230
2015,Chinese,Total,Toa Payoh- Total,Woodleigh,2200
2015,Chinese,Total,Western Water Catchment- Total,Western Water Catchment,730
2015,Chinese,Total,Woodlands- Total,Midview,21130
2015,Chinese,Total,Woodlands- Total,North Coast,8140
2015,Chinese,Total,Woodlands- Total,Woodgrove,22880
2015,Chinese,Total,Woodlands- Total,Woodlands East,60560
2015,Chinese,Total,Woodlands- Total,Woodlands South,21710
2015,Chinese,Total,Woodlands- Total,Woodlands West,19310
2015,Chinese,Total,Yishun- Total,Khatib,8100
2015,Chinese,Total,Yishun- Total,Lower Seletar,2220
2015,Chinese,Total,Yishun- Total,Nee Soon,790
2015,Chinese,Total,Yishun- Total,Northland,20070
2015,Chinese,Total,Yishun- Total,Springleaf,3560
2015,Chinese,Total,Yishun- Total,Yishun Central,1200
2015,Chinese,Total,Yishun- Total,Yishun East,37680
2015,Chinese,Total,Yishun- Total,Yishun South,28880
2015,Chinese,Total,Yishun- Total,Yishun West,39800
2015,Chinese,Males,Ang Mo Kio- Total,Ang Mo Kio Town Centre,2020
2015,Chinese,Males,Ang Mo Kio- Total,Cheng San,11890
2015,Chinese,Males,Ang Mo Kio- Total,Chong Boon,11150
2015,Chinese,Males,Ang Mo Kio- Total,Kebun Bahru,9160
2015,Chinese,Males,Ang Mo Kio- Total,Sembawang Hills,2850
2015,Chinese,Males,Ang Mo Kio- Total,Shangri-La,6810
2015,Chinese,Males,Ang Mo Kio- Total,Tagore,3540
2015,Chinese,Males,Ang Mo Kio- Total,Townsville,9320
2015,Chinese,Males,Ang Mo Kio- Total,Yio Chu Kang East,1790
2015,Chinese,Males,Ang Mo Kio- Total,Yio Chu Kang West,10330
2015,Chinese,Males,Bedok- Total,Bayshore,2450
2015,Chinese,Males,Bedok- Total,Bedok North,29010
2015,Chinese,Males,Bedok- Total,Bedok Reservoir,9240
2015,Chinese,Males,Bedok- Total,Bedok South,18950
2015,Chinese,Males,Bedok- Total,Frankel,12840
2015,Chinese,Males,Bedok- Total,Kaki Bukit,12900
2015,Chinese,Males,Bedok- Total,Kembangan,13350
2015,Chinese,Males,Bedok- Total,Siglap,2270
2015,Chinese,Males,Bishan- Total,Bishan East,11440
2015,Chinese,Males,Bishan- Total,Marymount,13440
2015,Chinese,Males,Bishan- Total,Upper Thomson,12600
2015,Chinese,Males,Bukit Batok- Total,Bukit Batok Central,9700
2015,Chinese,Males,Bukit Batok- Total,Bukit Batok East,4580
2015,Chinese,Males,Bukit Batok- Total,Bukit Batok South,5120
2015,Chinese,Males,Bukit Batok- Total,Bukit Batok West,5270
2015,Chinese,Males,Bukit Batok- Total,Gombak,4110
2015,Chinese,Males,Bukit Batok- Total,Guilin,4500
2015,Chinese,Males,Bukit Batok- Total,Hillview,7580
2015,Chinese,Males,Bukit Batok- Total,Hong Kah North,9190
2015,Chinese,Males,Bukit Merah- Total,Alexandra Hill,5570
2015,Chinese,Males,Bukit Merah- Total,Alexandra North,340
2015,Chinese,Males,Bukit Merah- Total,Bukit Ho Swee,6310
2015,Chinese,Males,Bukit Merah- Total,Bukit Merah,490
2015,Chinese,Males,Bukit Merah- Total,Depot Road,2050
2015,Chinese,Males,Bukit Merah- Total,Everton Park,3230
2015,Chinese,Males,Bukit Merah- Total,Henderson Hill,4520
2015,Chinese,Males,Bukit Merah- Total,Kampong Tiong Bahru,4000
2015,Chinese,Males,Bukit Merah- Total,Maritime Square,840
2015,Chinese,Males,Bukit Merah- Total,Redhill,4730
2015,Chinese,Males,Bukit Merah- Total,Telok Blangah Drive,5930
2015,Chinese,Males,Bukit Merah- Total,Telok Blangah Rise,5330
2015,Chinese,Males,Bukit Merah- Total,Telok Blangah Way,4000
2015,Chinese,Males,Bukit Merah- Total,Tiong Bahru,5050
2015,Chinese,Males,Bukit Merah- Total,Tiong Bahru Station,6500
2015,Chinese,Males,Bukit Panjang- Total,Bangkit,8860
2015,Chinese,Males,Bukit Panjang- Total,Dairy Farm,2260
2015,Chinese,Males,Bukit Panjang- Total,Fajar,9290
2015,Chinese,Males,Bukit Panjang- Total,Jelebu,12860
2015,Chinese,Males,Bukit Panjang- Total,Nature Reserve,1480
2015,Chinese,Males,Bukit Panjang- Total,Saujana,9100
2015,Chinese,Males,Bukit Panjang- Total,Senja,7360
2015,Chinese,Males,Bukit Timah- Total,Anak Bukit,9600
2015,Chinese,Males,Bukit Timah- Total,Coronation Road,2500
2015,Chinese,Males,Bukit Timah- Total,Farrer Court,1860
2015,Chinese,Males,Bukit Timah- Total,Hillcrest,3270
2015,Chinese,Males,Bukit Timah- Total,Holland Road,3850
2015,Chinese,Males,Bukit Timah- Total,Leedon Park,2170
2015,Chinese,Males,Bukit Timah- Total,Swiss Club,2150
2015,Chinese,Males,Bukit Timah- Total,Ulu Pandan,4340
2015,Chinese,Males,Changi- Total,Changi Point,220
2015,Chinese,Males,Changi- Total,Changi West,360
2015,Chinese,Males,Choa Chu Kang- Total,Choa Chu Kang Central,7950
2015,Chinese,Males,Choa Chu Kang- Total,Choa Chu Kang North,12170
2015,Chinese,Males,Choa Chu Kang- Total,Keat Hong,5520
2015,Chinese,Males,Choa Chu Kang- Total,Peng Siang,10920
2015,Chinese,Males,Choa Chu Kang- Total,Teck Whye,8790
2015,Chinese,Males,Choa Chu Kang- Total,Yew Tee,16040
2015,Chinese,Males,Clementi- Total,Clementi Central,4980
2015,Chinese,Males,Clementi- Total,Clementi North,10380
2015,Chinese,Males,Clementi- Total,Clementi West,5450
2015,Chinese,Males,Clementi- Total,Clementi Woods,5840
2015,Chinese,Males,Clementi- Total,Faber,1830
2015,Chinese,Males,Clementi- Total,Sunset Way,2400
2015,Chinese,Males,Clementi- Total,West Coast,2630
2015,Chinese,Males,Downtown Core- Total,Bugis,1000
2015,Chinese,Males,Downtown Core- Total,Cecil,50
2015,Chinese,Males,Downtown Core- Total,Central Subzone,140
2015,Chinese,Males,Downtown Core- Total,Tanjong Pagar,160
2015,Chinese,Males,Geylang- Total,Aljunied,17130
2015,Chinese,Males,Geylang- Total,Geylang East,11690
2015,Chinese,Males,Geylang- Total,Kampong Ubi,4400
2015,Chinese,Males,Geylang- Total,Macpherson,10310
2015,Chinese,Males,Hougang- Total,Hougang Central,2110
2015,Chinese,Males,Hougang- Total,Hougang East,8840
2015,Chinese,Males,Hougang- Total,Hougang West,19880
2015,Chinese,Males,Hougang- Total,Kangkar,10670
2015,Chinese,Males,Hougang- Total,Kovan,11130
2015,Chinese,Males,Hougang- Total,Lorong Ah Soo,13450
2015,Chinese,Males,Hougang- Total,Tai Seng,5770
2015,Chinese,Males,Hougang- Total,Trafalgar,17380
2015,Chinese,Males,Jurong East- Total,Lakeside,430
2015,Chinese,Males,Jurong East- Total,Teban Gardens,5920
2015,Chinese,Males,Jurong East- Total,Toh Guan,6210
2015,Chinese,Males,Jurong East- Total,Yuhua East,9830
2015,Chinese,Males,Jurong East- Total,Yuhua West,7360
2015,Chinese,Males,Jurong West- Total,Boon Lay Place,10230
2015,Chinese,Males,Jurong West- Total,Hong Kah,19240
2015,Chinese,Males,Jurong West- Total,Jurong West Central,25940
2015,Chinese,Males,Jurong West- Total,Taman Jurong,12910
2015,Chinese,Males,Jurong West- Total,Wenya,2930
2015,Chinese,Males,Jurong West- Total,Yunnan,24210
2015,Chinese,Males,Kallang- Total,Bendemeer,13190
2015,Chinese,Males,Kallang- Total,Boon Keng,4220
2015,Chinese,Males,Kallang- Total,Crawford,3630
2015,Chinese,Males,Kallang- Total,Geylang Bahru,4770
2015,Chinese,Males,Kallang- Total,Kampong Bugis,370
2015,Chinese,Males,Kallang- Total,Kampong Java,4290
2015,Chinese,Males,Kallang- Total,Lavender,3740
2015,Chinese,Males,Kallang- Total,Tanjong Rhu,3190
2015,Chinese,Males,Mandai- Total,Mandai Estate,810
2015,Chinese,Males,Marine Parade- Total,Katong,3910
2015,Chinese,Males,Marine Parade- Total,Marine Parade,9820
2015,Chinese,Males,Marine Parade- Total,Mountbatten,3340
2015,Chinese,Males,Museum- Total,Dhoby Ghaut,70
2015,Chinese,Males,Museum- Total,Fort Canning,30
2015,Chinese,Males,Newton- Total,Cairnhill,1080
2015,Chinese,Males,Newton- Total,Goodwood Park,300
2015,Chinese,Males,Newton- Total,Monk's Hill,330
2015,Chinese,Males,Newton- Total,Newton Circus,60
2015,Chinese,Males,Newton- Total,Orange Grove,420
2015,Chinese,Males,Novena- Total,Balestier,12520
2015,Chinese,Males,Novena- Total,Dunearn,1480
2015,Chinese,Males,Novena- Total,Malcolm,960
2015,Chinese,Males,Novena- Total,Moulmein,3440
2015,Chinese,Males,Novena- Total,Mount Pleasant,250
2015,Chinese,Males,Orchard- Total,Boulevard,130
2015,Chinese,Males,Orchard- Total,Somerset,30
2015,Chinese,Males,Orchard- Total,Tanglin,100
2015,Chinese,Males,Outram- Total,China Square,740
2015,Chinese,Males,Outram- Total,Chinatown,4790
2015,Chinese,Males,Outram- Total,Pearl's Hill,3260
2015,Chinese,Males,Outram- Total,People's Park,180
2015,Chinese,Males,Pasir Ris- Total,Flora Drive,4930
2015,Chinese,Males,Pasir Ris- Total,Loyang East,820
2015,Chinese,Males,Pasir Ris- Total,Loyang West,70
2015,Chinese,Males,Pasir Ris- Total,Pasir Ris Central,9300
2015,Chinese,Males,Pasir Ris- Total,Pasir Ris Drive,17800
2015,Chinese,Males,Pasir Ris- Total,Pasir Ris Park,1080
2015,Chinese,Males,Pasir Ris- Total,Pasir Ris West,12150
2015,Chinese,Males,Punggol- Total,Matilda,11510
2015,Chinese,Males,Punggol- Total,Northshore,120
2015,Chinese,Males,Punggol- Total,Punggol Field,16690
2015,Chinese,Males,Punggol- Total,Punggol Town Centre,2920
2015,Chinese,Males,Punggol- Total,Waterway East,10650
2015,Chinese,Males,Queenstown- Total,Commonwealth,2810
2015,Chinese,Males,Queenstown- Total,Dover,5000
2015,Chinese,Males,Queenstown- Total,Ghim Moh,4310
2015,Chinese,Males,Queenstown- Total,Holland Drive,5350
2015,Chinese,Males,Queenstown- Total,Kent Ridge,310
2015,Chinese,Males,Queenstown- Total,Margaret Drive,4240
2015,Chinese,Males,Queenstown- Total,Mei Chin,6150
2015,Chinese,Males,Queenstown- Total,National University of S'pore,80
2015,Chinese,Males,Queenstown- Total,One North,180
2015,Chinese,Males,Queenstown- Total,Pasir Panjang 1,1620
2015,Chinese,Males,Queenstown- Total,Pasir Panjang 2,1350
2015,Chinese,Males,Queenstown- Total,Port,60
2015,Chinese,Males,Queenstown- Total,Queensway,100
2015,Chinese,Males,Queenstown- Total,Singapore Polytechnic,60
2015,Chinese,Males,Queenstown- Total,Tanglin Halt,4510
2015,Chinese,Males,River Valley- Total,Institution Hill,1140
2015,Chinese,Males,River Valley- Total,Leonie Hill,700
2015,Chinese,Males,River Valley- Total,One Tree Hill,570
2015,Chinese,Males,River Valley- Total,Oxley,480
2015,Chinese,Males,River Valley- Total,Paterson,50
2015,Chinese,Males,Rochor- Total,Bencoolen,480
2015,Chinese,Males,Rochor- Total,Farrer Park,1040
2015,Chinese,Males,Rochor- Total,Kampong Glam,30
2015,Chinese,Males,Rochor- Total,Little India,1390
2015,Chinese,Males,Rochor- Total,Mackenzie,40
2015,Chinese,Males,Rochor- Total,Mount Emily,370
2015,Chinese,Males,Rochor- Total,Selegie,90
2015,Chinese,Males,Rochor- Total,Sungei Road,830
2015,Chinese,Males,Rochor- Total,Victoria,830
2015,Chinese,Males,Seletar- Total,Seletar,80
2015,Chinese,Males,Sembawang- Total,Admiralty,5060
2015,Chinese,Males,Sembawang- Total,Sembawang Central,10460
2015,Chinese,Males,Sembawang- Total,Sembawang North,9500
2015,Chinese,Males,Sembawang- Total,Sembawang Springs,1730
2015,Chinese,Males,Sembawang- Total,Sembawang Straits,650
2015,Chinese,Males,Sengkang- Total,Anchorvale,14500
2015,Chinese,Males,Sengkang- Total,Compassvale,7680
2015,Chinese,Males,Sengkang- Total,Fernvale,13330
2015,Chinese,Males,Sengkang- Total,Rivervale,22530
2015,Chinese,Males,Sengkang- Total,Sengkang Town Centre,21020
2015,Chinese,Males,Serangoon- Total,Lorong Chuan,3610
2015,Chinese,Males,Serangoon- Total,Seletar Hills,5910
2015,Chinese,Males,Serangoon- Total,Serangoon Central,10510
2015,Chinese,Males,Serangoon- Total,Serangoon Garden,15490
2015,Chinese,Males,Serangoon- Total,Serangoon North,6830
2015,Chinese,Males,Serangoon- Total,Upper Paya Lebar,6520
2015,Chinese,Males,Singapore River- Total,Boat Quay,60
2015,Chinese,Males,Singapore River- Total,Clarke Quay,40
2015,Chinese,Males,Singapore River- Total,Robertson Quay,740
2015,Chinese,Males,Southern Islands- Total,Sentosa,360
2015,Chinese,Males,Sungei Kadut- Total,Gali Batu,40
2015,Chinese,Males,Sungei Kadut- Total,Turf Club,280
2015,Chinese,Males,Tampines- Total,Simei,14930
2015,Chinese,Males,Tampines- Total,Tampines East,43580
2015,Chinese,Males,Tampines- Total,Tampines West,26290
2015,Chinese,Males,Tampines- Total,Xilin,810
2015,Chinese,Males,Tanglin- Total,Chatsworth,1800
2015,Chinese,Males,Tanglin- Total,Nassim,2930
2015,Chinese,Males,Tanglin- Total,Ridout,470
2015,Chinese,Males,Tanglin- Total,Tyersall,1220
2015,Chinese,Males,Toa Payoh- Total,Boon Teck,5480
2015,Chinese,Males,Toa Payoh- Total,Braddell,3930
2015,Chinese,Males,Toa Payoh- Total,Joo Seng,2880
2015,Chinese,Males,Toa Payoh- Total,Kim Keat,3420
2015,Chinese,Males,Toa Payoh- Total,Lorong 8 Toa Payoh,3240
2015,Chinese,Males,Toa Payoh- Total,Pei Chun,4650
2015,Chinese,Males,Toa Payoh- Total,Potong Pasir,5060
2015,Chinese,Males,Toa Payoh- Total,Sennett,1950
2015,Chinese,Males,Toa Payoh- Total,Toa Payoh Central,11850
2015,Chinese,Males,Toa Payoh- Total,Toa Payoh West,5090
2015,Chinese,Males,Toa Payoh- Total,Woodleigh,1080
2015,Chinese,Males,Western Water Catchment- Total,Western Water Catchment,320
2015,Chinese,Males,Woodlands- Total,Midview,10550
2015,Chinese,Males,Woodlands- Total,North Coast,4180
2015,Chinese,Males,Woodlands- Total,Woodgrove,11330
2015,Chinese,Males,Woodlands- Total,Woodlands East,30240
2015,Chinese,Males,Woodlands- Total,Woodlands South,10790
2015,Chinese,Males,Woodlands- Total,Woodlands West,9960
2015,Chinese,Males,Yishun- Total,Khatib,3980
2015,Chinese,Males,Yishun- Total,Lower Seletar,1090
2015,Chinese,Males,Yishun- Total,Nee Soon,380
2015,Chinese,Males,Yishun- Total,Northland,10020
2015,Chinese,Males,Yishun- Total,Springleaf,1780
2015,Chinese,Males,Yishun- Total,Yishun Central,590
2015,Chinese,Males,Yishun- Total,Yishun East,18640
2015,Chinese,Males,Yishun- Total,Yishun South,14130
2015,Chinese,Males,Yishun- Total,Yishun West,19630
2015,Chinese,Females,Ang Mo Kio- Total,Ang Mo Kio Town Centre,2240
2015,Chinese,Females,Ang Mo Kio- Total,Cheng San,12770
2015,Chinese,Females,Ang Mo Kio- Total,Chong Boon,11760
2015,Chinese,Females,Ang Mo Kio- Total,Kebun Bahru,10060
2015,Chinese,Females,Ang Mo Kio- Total,Sembawang Hills,3230
2015,Chinese,Females,Ang Mo Kio- Total,Shangri-La,7090
2015,Chinese,Females,Ang Mo Kio- Total,Tagore,3900
2015,Chinese,Females,Ang Mo Kio- Total,Townsville,10310
2015,Chinese,Females,Ang Mo Kio- Total,Yio Chu Kang East,1830
2015,Chinese,Females,Ang Mo Kio- Total,Yio Chu Kang West,11220
2015,Chinese,Females,Bedok- Total,Bayshore,2790
2015,Chinese,Females,Bedok- Total,Bedok North,30860
2015,Chinese,Females,Bedok- Total,Bedok Reservoir,9660
2015,Chinese,Females,Bedok- Total,Bedok South,20160
2015,Chinese,Females,Bedok- Total,Frankel,14590
2015,Chinese,Females,Bedok- Total,Kaki Bukit,13280
2015,Chinese,Females,Bedok- Total,Kembangan,13820
2015,Chinese,Females,Bedok- Total,Siglap,2710
2015,Chinese,Females,Bishan- Total,Bishan East,12580
2015,Chinese,Females,Bishan- Total,Marymount,13660
2015,Chinese,Females,Bishan- Total,Upper Thomson,13500
2015,Chinese,Females,Bukit Batok- Total,Bukit Batok Central,10110
2015,Chinese,Females,Bukit Batok- Total,Bukit Batok East,4750
2015,Chinese,Females,Bukit Batok- Total,Bukit Batok South,5340
2015,Chinese,Females,Bukit Batok- Total,Bukit Batok West,5480
2015,Chinese,Females,Bukit Batok- Total,Gombak,4240
2015,Chinese,Females,Bukit Batok- Total,Guilin,4800
2015,Chinese,Females,Bukit Batok- Total,Hillview,8170
2015,Chinese,Females,Bukit Batok- Total,Hong Kah North,9140
2015,Chinese,Females,Bukit Merah- Total,Alexandra Hill,5770
2015,Chinese,Females,Bukit Merah- Total,Alexandra North,410
2015,Chinese,Females,Bukit Merah- Total,Bukit Ho Swee,6740
2015,Chinese,Females,Bukit Merah- Total,Bukit Merah,530
2015,Chinese,Females,Bukit Merah- Total,Depot Road,2270
2015,Chinese,Females,Bukit Merah- Total,Everton Park,3680
2015,Chinese,Females,Bukit Merah- Total,Henderson Hill,4640
2015,Chinese,Females,Bukit Merah- Total,Kampong Tiong Bahru,4060
2015,Chinese,Females,Bukit Merah- Total,Maritime Square,960
2015,Chinese,Females,Bukit Merah- Total,Redhill,5140
2015,Chinese,Females,Bukit Merah- Total,Telok Blangah Drive,6610
2015,Chinese,Females,Bukit Merah- Total,Telok Blangah Rise,5850
2015,Chinese,Females,Bukit Merah- Total,Telok Blangah Way,4050
2015,Chinese,Females,Bukit Merah- Total,Tiong Bahru,5750
2015,Chinese,Females,Bukit Merah- Total,Tiong Bahru Station,7280
2015,Chinese,Females,Bukit Panjang- Total,Bangkit,8910
2015,Chinese,Females,Bukit Panjang- Total,Dairy Farm,2410
2015,Chinese,Females,Bukit Panjang- Total,Fajar,9400
2015,Chinese,Females,Bukit Panjang- Total,Jelebu,13040
2015,Chinese,Females,Bukit Panjang- Total,Nature Reserve,1710
2015,Chinese,Females,Bukit Panjang- Total,Saujana,9180
2015,Chinese,Females,Bukit Panjang- Total,Senja,7440
2015,Chinese,Females,Bukit Timah- Total,Anak Bukit,10490
2015,Chinese,Females,Bukit Timah- Total,Coronation Road,2880
2015,Chinese,Females,Bukit Timah- Total,Farrer Court,2130
2015,Chinese,Females,Bukit Timah- Total,Hillcrest,4060
2015,Chinese,Females,Bukit Timah- Total,Holland Road,4930
2015,Chinese,Females,Bukit Timah- Total,Leedon Park,2670
2015,Chinese,Females,Bukit Timah- Total,Swiss Club,2500
2015,Chinese,Females,Bukit Timah- Total,Ulu Pandan,4760
2015,Chinese,Females,Changi- Total,Changi Point,210
2015,Chinese,Females,Changi- Total,Changi West,410
2015,Chinese,Females,Choa Chu Kang- Total,Choa Chu Kang Central,8130
2015,Chinese,Females,Choa Chu Kang- Total,Choa Chu Kang North,12440
2015,Chinese,Females,Choa Chu Kang- Total,Keat Hong,5580
2015,Chinese,Females,Choa Chu Kang- Total,Peng Siang,10920
2015,Chinese,Females,Choa Chu Kang- Total,Teck Whye,8630
2015,Chinese,Females,Choa Chu Kang- Total,Yew Tee,16370
2015,Chinese,Females,Clementi- Total,Clementi Central,5500
2015,Chinese,Females,Clementi- Total,Clementi North,12010
2015,Chinese,Females,Clementi- Total,Clementi West,5860
2015,Chinese,Females,Clementi- Total,Clementi Woods,6370
2015,Chinese,Females,Clementi- Total,Faber,1920
2015,Chinese,Females,Clementi- Total,Sunset Way,2820
2015,Chinese,Females,Clementi- Total,West Coast,2660
2015,Chinese,Females,Downtown Core- Total,Bugis,1100
2015,Chinese,Females,Downtown Core- Total,Cecil,40
2015,Chinese,Females,Downtown Core- Total,Central Subzone,160
2015,Chinese,Females,Downtown Core- Total,Tanjong Pagar,170
2015,Chinese,Females,Geylang- Total,Aljunied,17380
2015,Chinese,Females,Geylang- Total,Geylang East,12260
2015,Chinese,Females,Geylang- Total,Kampong Ubi,4400
2015,Chinese,Females,Geylang- Total,Macpherson,10460
2015,Chinese,Females,Hougang- Total,Hougang Central,2060
2015,Chinese,Females,Hougang- Total,Hougang East,9080
2015,Chinese,Females,Hougang- Total,Hougang West,20390
2015,Chinese,Females,Hougang- Total,Kangkar,10930
2015,Chinese,Females,Hougang- Total,Kovan,11820
2015,Chinese,Females,Hougang- Total,Lorong Ah Soo,14930
2015,Chinese,Females,Hougang- Total,Tai Seng,6210
2015,Chinese,Females,Hougang- Total,Trafalgar,17040
2015,Chinese,Females,Jurong East- Total,Lakeside,440
2015,Chinese,Females,Jurong East- Total,Teban Gardens,5900
2015,Chinese,Females,Jurong East- Total,Toh Guan,6270
2015,Chinese,Females,Jurong East- Total,Yuhua East,10330
2015,Chinese,Females,Jurong East- Total,Yuhua West,7410
2015,Chinese,Females,Jurong West- Total,Boon Lay Place,9670
2015,Chinese,Females,Jurong West- Total,Hong Kah,19680
2015,Chinese,Females,Jurong West- Total,Jurong West Central,25880
2015,Chinese,Females,Jurong West- Total,Taman Jurong,12950
2015,Chinese,Females,Jurong West- Total,Wenya,2890
2015,Chinese,Females,Jurong West- Total,Yunnan,23660
2015,Chinese,Females,Kallang- Total,Bendemeer,14090
2015,Chinese,Females,Kallang- Total,Boon Keng,4460
2015,Chinese,Females,Kallang- Total,Crawford,2960
2015,Chinese,Females,Kallang- Total,Geylang Bahru,4800
2015,Chinese,Females,Kallang- Total,Kampong Bugis,360
2015,Chinese,Females,Kallang- Total,Kampong Java,4480
2015,Chinese,Females,Kallang- Total,Lavender,3500
2015,Chinese,Females,Kallang- Total,Tanjong Rhu,3740
2015,Chinese,Females,Mandai- Total,Mandai Estate,900
2015,Chinese,Females,Marine Parade- Total,Katong,4360
2015,Chinese,Females,Marine Parade- Total,Marine Parade,11450
2015,Chinese,Females,Marine Parade- Total,Mountbatten,3750
2015,Chinese,Females,Museum- Total,Dhoby Ghaut,80
2015,Chinese,Females,Museum- Total,Fort Canning,40
2015,Chinese,Females,Newton- Total,Cairnhill,1310
