year,sex,school_type,student_sec,teacher_sec
2003,MF,Independent,12772,851
2003,F,Independent,5679,600
2003,MF,Specialised Independant,0,0
2003,F,Specialised Independant,0,0
2003,MF,Specialised,0,0
2003,F,Specialised,0,0
2004,MF,Govt,138591,7123
2004,F,Govt,64585,4651
2004,MF,Aided,26336,1332
2004,F,Aided,11416,873
2004,MF,Auto,35513,1860
2004,F,Auto,21378,1326
2004,MF,Independent,13094,925
2004,F,Independent,5757,636
2004,MF,Specialised Independant,0,0
2004,F,Specialised Independant,0,0
2004,MF,Specialised,0,0
2004,F,Specialised,0,0
2005,MF,Govt,136118,7238
2005,F,Govt,63470,4744
2005,MF,Aided,26875,1376
2005,F,Aided,11587,892
2005,MF,Auto,36677,1905
2005,F,Auto,21938,1366
2005,MF,Independent,13393,976
2005,F,Independent,5820,665
2005,MF,Specialised Independant,0,0
2005,F,Specialised Independant,0,0
2005,MF,Specialised,0,0
2005,F,Specialised,0,0
2006,MF,Govt,136047,7220
2006,F,Govt,63348,4750
2006,MF,Aided,27240,1425
2006,F,Aided,11762,923
2006,MF,Auto,38053,2042
2006,F,Auto,22915,1461
2006,MF,Independent,13757,985
2006,F,Independent,5941,653
2006,MF,Specialised Independant,0,0
2006,F,Specialised Independant,0,0
2006,MF,Specialised,0,0
2006,F,Specialised,0,0
2007,MF,Govt,137626,7239
2007,F,Govt,64094,4744
2007,MF,Aided,27471,1473
2007,F,Aided,11765,955
2007,MF,Auto,38270,2154
2007,F,Auto,23005,1504
2007,MF,Independent,14695,1026
2007,F,Independent,6270,672
2007,MF,Specialised Independant,0,0
2007,F,Specialised Independant,0,0
2007,MF,Specialised,0,0
2007,F,Specialised,0,0
2008,MF,Govt,158328,8586
2008,F,Govt,76170,5628
2008,MF,Aided,43490,2404
2008,F,Aided,21856,1641
2008,MF,Auto,0,0
2008,F,Auto,0,0
2008,MF,Independent,13225,1009
2008,F,Independent,5796,673
2008,MF,Specialised Independant,1367,105
2008,F,Specialised Independant,631,58
2008,MF,Specialised,671,39
2008,F,Specialised,212,15
2009,MF,Govt,157904,9378
2009,F,Govt,75849,6200
2009,MF,Aided,43367,2561
2009,F,Aided,21814,1735
2009,MF,Auto,0,0
2009,F,Auto,0,0
2009,MF,Independent,13309,1080
2009,F,Independent,5850,712
2009,MF,Specialised Independant,1567,140
2009,F,Specialised Independant,752,80
2009,MF,Specialised,1083,55
2009,F,Specialised,361,22
2010,MF,Govt,155033,9496
2010,F,Govt,74437,6219
2010,MF,Aided,42934,2515
2010,F,Aided,21661,1722
2010,MF,Auto,0,0
2010,F,Auto,0,0
2010,MF,Independent,13260,1078
2010,F,Independent,5824,699
2010,MF,Specialised Independant,1953,185
2010,F,Specialised Independant,945,109
2010,MF,Specialised,1208,58
2010,F,Specialised,412,23
2011,MF,Govt,148912,9859
2011,F,Govt,71537,6429
2011,MF,Aided,42412,2716
2011,F,Aided,21546,1836
2011,MF,Auto,0,0
2011,F,Auto,0,0
2011,MF,Independent,13118,1064
2011,F,Independent,5789,701
2011,MF,Specialised Independant,2212,259
2011,F,Specialised Independant,1024,153
2011,MF,Specialised,1320,145
2011,F,Specialised,450,54
2012,MF,Govt,143943,10181
2012,F,Govt,69240,6631
2012,MF,Aided,41620,2821
2012,F,Aided,21119,1896
2012,MF,Auto,0,0
2012,F,Auto,0,0
2012,MF,Independent,13024,1100
2012,F,Independent,5723,727
2012,MF,Specialised Independant,2465,309
2012,F,Specialised Independant,1119,180
2012,MF,Specialised,1468,163
2012,F,Specialised,522,62
2013,MF,Govt,139542,10416
2013,F,Govt,67269,6778
2013,MF,Aided,40456,2924
2013,F,Aided,20512,1953
2013,MF,Auto,0,0
2013,F,Auto,0,0
2013,MF,Independent,12759,1086
2013,F,Independent,5619,716
2013,MF,Specialised Independant,2693,358
2013,F,Specialised Independant,1200,201
2013,MF,Specialised,1715,209
2013,F,Specialised,617,83
2014,MF,Govt,133103,10538
2014,F,Govt,64049,6814
2014,MF,Aided,39555,2996
2014,F,Aided,20036,2007
2014,MF,Auto,0,0
2014,F,Auto,0,0
2014,MF,Independent,12585,1079
2014,F,Independent,5585,706
2014,MF,Specialised Independant,2699,349
2014,F,Specialised Independant,1211,194
2014,MF,Specialised,2165,246
2014,F,Specialised,783,101
2015,MF,Govt,129811,10541
2015,F,Govt,62626,6775
2015,MF,Aided,38594,2967
2015,F,Aided,19502,1989
2015,MF,Auto,0,0
2015,F,Auto,0,0
2015,MF,Independent,12399,1064
2015,F,Independent,5552,685
2015,MF,Specialised Independant,2670,353
2015,F,Specialised Independant,1200,203
2015,MF,Specialised,2562,282
2015,F,Specialised,908,121
2016,MF,Govt,124845,10356
2016,F,Govt,60536,6640
2016,MF,Aided,37529,2972
2016,F,Aided,19051,1990
2016,MF,Auto,0,0
2016,F,Auto,0,0
2016,MF,Independent,12067,1064
2016,F,Independent,5478,685
2016,MF,Specialised Independant,2665,386
2016,F,Specialised Independant,1158,228
