year,level_1,level_2,level_3,level_4,value
2015,Eurasian,Males,Total,30 - 34,451
2015,Eurasian,Males,Total,35 - 39,434
2015,Eurasian,Males,Total,40 - 44,510
2015,Eurasian,Males,Total,45 - 49,569
2015,Eurasian,Males,Total,50 - 54,690
2015,Eurasian,Males,Total,55 - 59,667
2015,Eurasian,Males,Total,60 - 64,559
2015,Eurasian,Males,Total,65 - 69,433
2015,Eurasian,Males,Total,70 - 74,187
2015,Eurasian,Males,Total,75 - 79,210
2015,Eurasian,Males,Total,80 - 84,158
2015,Eurasian,Males,Total,85 & Over,128
2015,Eurasian,Females,Total,0 - 4,908
2015,Eurasian,Females,Total,5-Sep,644
2015,Eurasian,Females,Total,Oct-14,510
2015,Eurasian,Females,Total,15 - 19,606
2015,Eurasian,Females,Total,20 - 24,595
2015,Eurasian,Females,Total,25 - 29,523
2015,Eurasian,Females,Total,30 - 34,438
2015,Eurasian,Females,Total,35 - 39,420
2015,Eurasian,Females,Total,40 - 44,417
2015,Eurasian,Females,Total,45 - 49,483
2015,Eurasian,Females,Total,50 - 54,578
2015,Eurasian,Females,Total,55 - 59,550
2015,Eurasian,Females,Total,60 - 64,501
2015,Eurasian,Females,Total,65 - 69,386
2015,Eurasian,Females,Total,70 - 74,208
2015,Eurasian,Females,Total,75 - 79,273
2015,Eurasian,Females,Total,80 - 84,206
2015,Eurasian,Females,Total,85 & Over,241
2015,Arab,Total,Total,0 - 4,581
2015,Arab,Total,Total,5-Sep,553
2015,Arab,Total,Total,Oct-14,562
2015,Arab,Total,Total,15 - 19,640
2015,Arab,Total,Total,20 - 24,724
2015,Arab,Total,Total,25 - 29,781
2015,Arab,Total,Total,30 - 34,717
2015,Arab,Total,Total,35 - 39,531
2015,Arab,Total,Total,40 - 44,475
2015,Arab,Total,Total,45 - 49,460
2015,Arab,Total,Total,50 - 54,567
2015,Arab,Total,Total,55 - 59,598
2015,Arab,Total,Total,60 - 64,470
2015,Arab,Total,Total,65 - 69,402
2015,Arab,Total,Total,70 - 74,209
2015,Arab,Total,Total,75 - 79,173
2015,Arab,Total,Total,80 - 84,118
2015,Arab,Total,Total,85 & Over,81
2015,Arab,Males,Total,0 - 4,308
2015,Arab,Males,Total,5-Sep,281
2015,Arab,Males,Total,Oct-14,301
2015,Arab,Males,Total,15 - 19,326
2015,Arab,Males,Total,20 - 24,375
2015,Arab,Males,Total,25 - 29,411
2015,Arab,Males,Total,30 - 34,367
2015,Arab,Males,Total,35 - 39,272
2015,Arab,Males,Total,40 - 44,261
2015,Arab,Males,Total,45 - 49,243
2015,Arab,Males,Total,50 - 54,319
2015,Arab,Males,Total,55 - 59,326
2015,Arab,Males,Total,60 - 64,242
2015,Arab,Males,Total,65 - 69,189
2015,Arab,Males,Total,70 - 74,92
2015,Arab,Males,Total,75 - 79,68
2015,Arab,Males,Total,80 - 84,34
2015,Arab,Males,Total,85 & Over,17
2015,Arab,Females,Total,0 - 4,273
2015,Arab,Females,Total,5-Sep,272
2015,Arab,Females,Total,Oct-14,261
2015,Arab,Females,Total,15 - 19,314
2015,Arab,Females,Total,20 - 24,349
2015,Arab,Females,Total,25 - 29,370
2015,Arab,Females,Total,30 - 34,350
2015,Arab,Females,Total,35 - 39,259
2015,Arab,Females,Total,40 - 44,214
2015,Arab,Females,Total,45 - 49,217
2015,Arab,Females,Total,50 - 54,248
2015,Arab,Females,Total,55 - 59,272
2015,Arab,Females,Total,60 - 64,228
2015,Arab,Females,Total,65 - 69,213
2015,Arab,Females,Total,70 - 74,117
2015,Arab,Females,Total,75 - 79,105
2015,Arab,Females,Total,80 - 84,84
2015,Arab,Females,Total,85 & Over,64
2015,Thai,Total,Total,0 - 4,131
2015,Thai,Total,Total,5-Sep,125
2015,Thai,Total,Total,Oct-14,115
2015,Thai,Total,Total,15 - 19,139
2015,Thai,Total,Total,20 - 24,146
2015,Thai,Total,Total,25 - 29,226
2015,Thai,Total,Total,30 - 34,669
2015,Thai,Total,Total,35 - 39,911
2015,Thai,Total,Total,40 - 44,1148
2015,Thai,Total,Total,45 - 49,1028
2015,Thai,Total,Total,50 - 54,740
2015,Thai,Total,Total,55 - 59,379
2015,Thai,Total,Total,60 - 64,148
2015,Thai,Total,Total,65 - 69,58
2015,Thai,Total,Total,70 - 74,18
2015,Thai,Total,Total,75 - 79,13
2015,Thai,Total,Total,80 - 84,17
2015,Thai,Total,Total,85 & Over,12
2015,Thai,Males,Total,0 - 4,59
2015,Thai,Males,Total,5-Sep,64
2015,Thai,Males,Total,Oct-14,59
2015,Thai,Males,Total,15 - 19,62
2015,Thai,Males,Total,20 - 24,54
2015,Thai,Males,Total,25 - 29,39
2015,Thai,Males,Total,30 - 34,62
2015,Thai,Males,Total,35 - 39,84
2015,Thai,Males,Total,40 - 44,101
2015,Thai,Males,Total,45 - 49,74
2015,Thai,Males,Total,50 - 54,54
2015,Thai,Males,Total,55 - 59,32
2015,Thai,Males,Total,60 - 64,25
2015,Thai,Males,Total,65 - 69,15
2015,Thai,Males,Total,70 - 74,5
2015,Thai,Males,Total,75 - 79,5
2015,Thai,Males,Total,80 - 84,5
2015,Thai,Males,Total,85 & Over,4
2015,Thai,Females,Total,0 - 4,72
2015,Thai,Females,Total,5-Sep,61
2015,Thai,Females,Total,Oct-14,56
2015,Thai,Females,Total,15 - 19,77
2015,Thai,Females,Total,20 - 24,92
2015,Thai,Females,Total,25 - 29,187
2015,Thai,Females,Total,30 - 34,607
2015,Thai,Females,Total,35 - 39,827
2015,Thai,Females,Total,40 - 44,1047
2015,Thai,Females,Total,45 - 49,954
2015,Thai,Females,Total,50 - 54,686
2015,Thai,Females,Total,55 - 59,347
2015,Thai,Females,Total,60 - 64,123
2015,Thai,Females,Total,65 - 69,43
2015,Thai,Females,Total,70 - 74,13
2015,Thai,Females,Total,75 - 79,8
2015,Thai,Females,Total,80 - 84,12
2015,Thai,Females,Total,85 & Over,8
2015,Japanese,Total,Total,0 - 4,292
2015,Japanese,Total,Total,5-Sep,334
2015,Japanese,Total,Total,Oct-14,309
2015,Japanese,Total,Total,15 - 19,329
2015,Japanese,Total,Total,20 - 24,278
2015,Japanese,Total,Total,25 - 29,221
2015,Japanese,Total,Total,30 - 34,296
2015,Japanese,Total,Total,35 - 39,601
2015,Japanese,Total,Total,40 - 44,695
2015,Japanese,Total,Total,45 - 49,611
2015,Japanese,Total,Total,50 - 54,488
2015,Japanese,Total,Total,55 - 59,311
2015,Japanese,Total,Total,60 - 64,245
2015,Japanese,Total,Total,65 - 69,223
2015,Japanese,Total,Total,70 - 74,94
2015,Japanese,Total,Total,75 - 79,38
2015,Japanese,Total,Total,80 - 84,9
2015,Japanese,Total,Total,85 & Over,6
2015,Japanese,Males,Total,0 - 4,135
2015,Japanese,Males,Total,5-Sep,129
2015,Japanese,Males,Total,Oct-14,138
2015,Japanese,Males,Total,15 - 19,146
2015,Japanese,Males,Total,20 - 24,123
2015,Japanese,Males,Total,25 - 29,84
2015,Japanese,Males,Total,30 - 34,88
2015,Japanese,Males,Total,35 - 39,183
2015,Japanese,Males,Total,40 - 44,208
2015,Japanese,Males,Total,45 - 49,203
2015,Japanese,Males,Total,50 - 54,222
2015,Japanese,Males,Total,55 - 59,161
2015,Japanese,Males,Total,60 - 64,162
2015,Japanese,Males,Total,65 - 69,131
2015,Japanese,Males,Total,70 - 74,53
2015,Japanese,Males,Total,75 - 79,22
2015,Japanese,Males,Total,80 - 84,5
2015,Japanese,Males,Total,85 & Over,1
2015,Japanese,Females,Total,0 - 4,157
2015,Japanese,Females,Total,5-Sep,205
2015,Japanese,Females,Total,Oct-14,171
2015,Japanese,Females,Total,15 - 19,183
2015,Japanese,Females,Total,20 - 24,155
2015,Japanese,Females,Total,25 - 29,137
2015,Japanese,Females,Total,30 - 34,208
2015,Japanese,Females,Total,35 - 39,418
2015,Japanese,Females,Total,40 - 44,487
2015,Japanese,Females,Total,45 - 49,408
2015,Japanese,Females,Total,50 - 54,266
2015,Japanese,Females,Total,55 - 59,150
2015,Japanese,Females,Total,60 - 64,83
2015,Japanese,Females,Total,65 - 69,92
2015,Japanese,Females,Total,70 - 74,41
2015,Japanese,Females,Total,75 - 79,16
2015,Japanese,Females,Total,80 - 84,4
2015,Japanese,Females,Total,85 & Over,5
2015,Others,Total,Total,0 - 4,947
2015,Others,Total,Total,5-Sep,1588
2015,Others,Total,Total,Oct-14,1495
2015,Others,Total,Total,15 - 19,1380
2015,Others,Total,Total,20 - 24,1196
2015,Others,Total,Total,25 - 29,2107
2015,Others,Total,Total,30 - 34,3918
2015,Others,Total,Total,35 - 39,3872
