year,sex,school_type,students_preu,teachers_preu
2013,MF,Indep,5881,547
2013,F,Indep,2874,290
2013,MF,Specialised Indep,630,_
2013,F,Specialised Indep,328,_
2014,MF,Aided,6278,633
2014,F,Aided,3330,370
2014,MF,Auto,_,_
2014,F,Auto,_,_
2014,MF,Govt,18755,1840
2014,F,Govt,10474,1085
2014,MF,Indep,5908,534
2014,F,Indep,2870,284
2014,MF,Specialised Indep,672,_
2014,F,Specialised Indep,361,_
2015,MF,Aided,5659,613
2015,F,Aided,3085,353
2015,MF,Auto,_,_
2015,F,Auto,_,_
2015,MF,Govt,17476,1814
2015,F,Govt,9722,1053
2015,MF,Indep,5717,557
2015,F,Indep,2775,294
2015,MF,Specialised Indep,707,_
2015,F,Specialised Indep,385,_
2016,MF,Aided,5308,574
2016,F,Aided,2893,338
2016,MF,Auto,_,_
2016,F,Auto,_,_
2016,MF,Govt,16763,1820
2016,F,Govt,9329,1052
2016,MF,Indep,5669,531
2016,F,Indep,2766,282
2016,MF,Specialised Indep,702,_
2016,F,Specialised Indep,381,_
2017,MF,Aided,5410,558
2017,F,Aided,2892,327
2017,MF,Auto,_,_
2017,F,Auto,_,_
2017,MF,Govt,17269,1763
2017,F,Govt,9656,1027
2017,MF,Indep,5862,527
2017,F,Indep,2836,281
2017,MF,Specialised Indep,711,_
2017,F,Specialised Indep,375,_
2018,MF,Aided,6203,555
2018,F,Aided,3323,324
2018,MF,Govt,15908,1571
2018,F,Govt,8791,899
2018,MF,Indep,6197,526
2018,F,Indep,3012,282
2018,MF,Specialised Indep,704,_
2018,F,Specialised Indep,377,_
